city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14,13.83,5739410935873
South Michelleport,2019-03-04 18:24,30.24,2343912425577
Port Samanthamouth,2019-02-24 4:29,33.44,2343912425577
Rodneyfort,2019-02-10 23:22,23.44,2343912425577
South Jack,2019-03-06 4:28,34.58,2343912425577
South Latoya,2019-03-11 12:26,9.52,2343912425577
New Paulville,2019-02-27 11:17,43.25,2343912425577
Simpsonburgh,2019-04-26 0:43,35.98,2343912425577
South Karenland,2019-01-08 3:28,35.09,2343912425577
North Jasmine,2019-03-09 6:26,42.81,2343912425577
New Kimberlyborough,2019-02-07 1:10,9.34,2343912425577
West Angela,2019-01-12 1:45,26.86,2343912425577
Rodneyfort,2019-03-02 18:03,44.26,2343912425577
West Angela,2019-01-10 12:17,12.74,2343912425577
Roberthaven,2019-05-04 14:48,25.66,2343912425577
North Jason,2019-03-28 22:28,9.19,2343912425577
Williamsview,2019-01-03 16:19,18.93,2343912425577
Leahton,2019-02-26 18:42,8.85,2343912425577
West Anthony,2019-03-06 2:27,10.02,2343912425577
New Kimberlyborough,2019-04-25 22:58,29.67,2343912425577
Roberthaven,2019-02-24 10:26,7.8,2343912425577
New Paulton,2019-05-01 3:12,8.28,2343912425577
West Patrickchester,2019-03-19 5:46,40.86,2343912425577
Deanville,2019-04-25 3:29,41.52,2343912425577
West Josephberg,2019-02-19 16:22,36.39,2343912425577
West Samuelburgh,2019-05-03 14:33,41.12,2343912425577
West Heidi,2019-03-14 23:46,24.4,2343912425577
Loganberg,2019-04-01 1:06,8.23,2343912425577
Huntermouth,2019-02-10 23:32,25.79,2343912425577
South Latoya,2019-01-11 18:44,27.41,2343912425577
New Paulville,2019-03-18 22:54,25.05,2343912425577
Grahamburgh,2019-01-15 11:44,40.69,2343912425577
Port Frank,2019-02-02 14:14,41.47,2343912425577
East Kaylahaven,2019-02-28 4:13,25.96,2343912425577
Rodneyfort,2019-02-03 0:48,44.86,2343912425577
South Karenland,2019-02-12 6:52,36.01,2343912425577
West Robert,2019-02-15 4:21,12.28,2343912425577
North Markport,2019-02-18 8:17,38.09,2343912425577
Williamsview,2019-03-12 6:47,8.35,2343912425577
Richardfort,2019-02-24 8:40,13.93,2343912425577
New Kimberlyborough,2019-03-14 16:47,27.9,2343912425577
Reynoldsfurt,2019-03-25 14:33,34.06,2343912425577
South Karenland,2019-05-08 2:31,41.33,2343912425577
Rodneyfort,2019-04-25 20:57,21.7,2343912425577
Justinberg,2019-04-23 8:59,14.65,2343912425577
West Josephberg,2019-03-05 3:27,12.91,2343912425577
South Karenland,2019-03-03 14:48,37.3,2343912425577
Leahton,2019-05-05 10:34,17.05,2343912425577
Martinezhaven,2019-03-19 15:31,5.3,2343912425577
North Jason,2019-03-03 2:13,28.02,2343912425577
Jerryton,2019-03-03 17:50,28.08,2343912425577
Lake Scottton,2019-02-18 9:22,25.02,2343912425577
South Evanton,2019-02-14 5:55,42.5,2343912425577
Rogerston,2019-05-08 1:54,32.69,2343912425577
West Samuelburgh,2019-05-02 13:55,38.77,2343912425577
West Ericstad,2019-04-24 3:20,7.31,2343912425577
New Paulville,2019-03-10 10:45,4.43,2343912425577
Hurleymouth,2019-05-04 21:50,21.44,2343912425577
West Samuelburgh,2019-03-03 3:17,25.17,2343912425577
Joneschester,2019-03-01 18:48,34.71,2343912425577
New Paulville,2019-04-03 7:51,32.7,2343912425577
Simpsonburgh,2019-01-19 23:06,15.83,2343912425577
Port Angela,2019-04-17 6:23,16.34,2343912425577
West Ericstad,2019-04-04 13:03,28.52,2343912425577
New Kimberlyborough,2019-03-16 1:38,17.19,2343912425577
Joneschester,2019-01-30 17:41,36.78,2343912425577
North Markport,2019-04-26 4:45,44.37,2343912425577
Hurleymouth,2019-03-22 11:19,32.85,2343912425577
Barajasview,2019-01-15 2:59,19.52,2343912425577
Grahamburgh,2019-04-06 13:48,23.87,2343912425577
South Michelleport,2019-03-02 9:54,33.12,2343912425577
Loganberg,2019-01-07 19:02,16.26,2343912425577
West Christopherberg,2019-03-18 17:14,12.64,2343912425577
Rogerston,2019-02-23 19:13,14.04,2343912425577
Huntermouth,2019-02-24 7:57,39.12,2343912425577
New Jacobville,2019-02-09 2:17,7.11,2343912425577
Lake Jonathanshire,2019-04-07 20:51,31.25,2343912425577
Port David,2019-03-17 14:42,33.11,2343912425577
Martinezhaven,2019-02-20 19:32,13.34,2343912425577
Port Frank,2019-04-19 19:35,26.47,2343912425577
Valentineton,2019-03-02 14:44,39.77,2343912425577
Hurleymouth,2019-03-03 11:28,36.31,2343912425577
Carriemouth,2019-02-25 8:26,32.37,2343912425577
Port Samanthamouth,2019-04-16 18:34,9.2,2343912425577
Williamsstad,2019-01-23 17:51,19.62,2343912425577
Royland,2019-01-07 2:23,24.5,2343912425577
New Jacobville,2019-01-05 5:02,34.11,2343912425577
Roberthaven,2019-03-06 22:56,12.38,2343912425577
South Evanton,2019-01-07 18:47,43.61,2343912425577
New Paulton,2019-05-03 12:09,21.67,2343912425577
Karenberg,2019-03-11 17:26,36.15,2343912425577
Rodneyfort,2019-01-30 12:34,16.99,2343912425577
East Kaylahaven,2019-04-04 2:35,23.18,2343912425577
Huntermouth,2019-02-19 3:19,7.05,2343912425577
Barajasview,2019-01-23 13:23,37.68,2343912425577
Williamsstad,2019-03-29 21:43,35.58,2343912425577
North Jason,2019-03-08 20:06,25.21,2343912425577
Christopherfurt,2019-04-17 2:25,23.3,2343912425577
Liumouth,2019-01-11 17:15,36.78,2343912425577
Johnton,2019-01-17 2:12,32.19,2343912425577
West Angela,2019-03-08 1:08,41.06,2343912425577
Jerryton,2019-01-04 16:38,37.2,2343912425577
Erikaland,2019-02-18 7:47,20.62,2343912425577
North Jason,2019-02-07 7:27,20,2343912425577
Lake Scottton,2019-05-05 11:21,18.77,2343912425577
Simpsonburgh,2019-03-22 8:56,22.05,2343912425577
Raymondhaven,2019-03-12 6:59,16.98,2343912425577
West Robert,2019-04-05 3:18,44.58,2343912425577
North Jason,2019-03-18 10:10,6.41,2343912425577
Port Samanthamouth,2019-01-23 9:08,35.51,2343912425577
West Robert,2019-01-21 17:21,27.11,2343912425577
Jerryton,2019-01-05 15:36,37.91,2343912425577
Port Samanthamouth,2019-02-03 7:07,18.03,2343912425577
Liumouth,2019-01-15 7:55,14.55,2343912425577
West Heidi,2019-04-03 3:16,24.76,2343912425577
Loganberg,2019-01-21 16:26,22.86,2343912425577
Grahamburgh,2019-02-17 9:54,30.25,2343912425577
Raymondhaven,2019-05-06 23:22,25.76,2343912425577
Karenside,2019-01-25 15:35,14.52,2343912425577
Port Frank,2019-04-06 21:38,18.08,2343912425577
Leahton,2019-04-02 17:39,22.76,2343912425577
Port Samanthamouth,2019-04-22 3:32,29.67,2343912425577
Jerryton,2019-04-13 21:47,32.08,2343912425577
West Patrickchester,2019-03-07 15:47,23.66,2343912425577
West Samuelburgh,2019-03-03 16:07,27.48,2343912425577
North Markport,2019-03-31 13:58,29.41,2343912425577
West Angela,2019-03-10 11:23,27.1,2343912425577
Grahamburgh,2019-03-12 2:44,22.97,2343912425577
South Michelleport,2019-01-08 9:38,23.77,2343912425577
East Kaylahaven,2019-04-02 7:05,9.67,2343912425577
South Karenland,2019-04-22 21:37,22.86,2343912425577
Lake Danielberg,2019-02-24 12:05,9.63,2343912425577
Justinberg,2019-04-26 8:41,8.83,2343912425577
Karenberg,2019-04-29 20:54,28.41,2343912425577
South Phillip,2019-02-09 16:46,7.89,2343912425577
